YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
1990.0,NE,Total Electric Power Industry,Total,21633587.0
1990.0,NE,Total Electric Power Industry,Coal,12661150.0
1990.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1140093.0
1990.0,NE,Total Electric Power Industry,Natural Gas,308065.0
1990.0,NE,Total Electric Power Industry,Nuclear,7511298.0
1990.0,NE,Total Electric Power Industry,Petroleum,12981.0
1990.0,NE,"Electric Generators, Electric Utilities",Total,21630677.0
1990.0,NE,"Electric Generators, Electric Utilities",Coal,12658464.0
1990.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1140093.0
1990.0,NE,"Electric Generators, Electric Utilities",Natural Gas,307841.0
1990.0,NE,"Electric Generators, Electric Utilities",Nuclear,7511298.0
1990.0,NE,"Electric Generators, Electric Utilities",Petroleum,12981.0
1990.0,NE,"Combined Heat and Power, Industrial Power",Total,2910.0
1990.0,NE,"Combined Heat and Power, Industrial Power",Coal,2686.0
1990.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,224.0
1991.0,NE,Total Electric Power Industry,Total,23000347.0
1991.0,NE,Total Electric Power Industry,Coal,13591228.0
1991.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1044671.0
1991.0,NE,Total Electric Power Industry,Natural Gas,303327.0
1991.0,NE,Total Electric Power Industry,Nuclear,8047662.0
1991.0,NE,Total Electric Power Industry,Petroleum,13459.0
1991.0,NE,"Electric Generators, Electric Utilities",Total,22971934.0
1991.0,NE,"Electric Generators, Electric Utilities",Coal,13562815.0
1991.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1044671.0
1991.0,NE,"Electric Generators, Electric Utilities",Natural Gas,303327.0
1991.0,NE,"Electric Generators, Electric Utilities",Nuclear,8047662.0
1991.0,NE,"Electric Generators, Electric Utilities",Petroleum,13459.0
1991.0,NE,"Combined Heat and Power, Industrial Power",Total,28413.0
1991.0,NE,"Combined Heat and Power, Industrial Power",Coal,28413.0
1992.0,NE,Total Electric Power Industry,Total,22425498.0
1992.0,NE,Total Electric Power Industry,Coal,12440175.0
1992.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1075446.0
1992.0,NE,Total Electric Power Industry,Natural Gas,145492.0
1992.0,NE,Total Electric Power Industry,Nuclear,8748468.0
1992.0,NE,Total Electric Power Industry,Other Biomass,6435.0
1992.0,NE,Total Electric Power Industry,Petroleum,9482.0
1992.0,NE,"Electric Generators, Electric Utilities",Total,22387247.0
1992.0,NE,"Electric Generators, Electric Utilities",Coal,12402148.0
1992.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1075446.0
1992.0,NE,"Electric Generators, Electric Utilities",Natural Gas,145268.0
1992.0,NE,"Electric Generators, Electric Utilities",Nuclear,8748468.0
1992.0,NE,"Electric Generators, Electric Utilities",Other Biomass,6435.0
1992.0,NE,"Electric Generators, Electric Utilities",Petroleum,9482.0
1992.0,NE,"Combined Heat and Power, Industrial Power",Total,38251.0
1992.0,NE,"Combined Heat and Power, Industrial Power",Coal,38027.0
1992.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,224.0
1993.0,NE,Total Electric Power Industry,Total,22760857.0
1993.0,NE,Total Electric Power Industry,Coal,14776211.0
1993.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1001663.0
1993.0,NE,Total Electric Power Industry,Natural Gas,153065.0
1993.0,NE,Total Electric Power Industry,Nuclear,6805133.0
1993.0,NE,Total Electric Power Industry,Other Biomass,5750.0
1993.0,NE,Total Electric Power Industry,Petroleum,19035.0
1993.0,NE,"Electric Generators, Electric Utilities",Total,22724286.0
1993.0,NE,"Electric Generators, Electric Utilities",Coal,14739783.0
1993.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1001663.0
1993.0,NE,"Electric Generators, Electric Utilities",Natural Gas,152922.0
1993.0,NE,"Electric Generators, Electric Utilities",Nuclear,6805133.0
1993.0,NE,"Electric Generators, Electric Utilities",Other Biomass,5750.0
1993.0,NE,"Electric Generators, Electric Utilities",Petroleum,19035.0
1993.0,NE,"Combined Heat and Power, Industrial Power",Total,36571.0
1993.0,NE,"Combined Heat and Power, Industrial Power",Coal,36428.0
1993.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,143.0
1994.0,NE,Total Electric Power Industry,Total,21983131.0
1994.0,NE,Total Electric Power Industry,Coal,14039467.0
1994.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1311883.0
1994.0,NE,Total Electric Power Industry,Natural Gas,258918.0
1994.0,NE,Total Electric Power Industry,Nuclear,6345330.0
1994.0,NE,Total Electric Power Industry,Other Biomass,9332.0
1994.0,NE,Total Electric Power Industry,Petroleum,18201.0
1994.0,NE,"Electric Generators, Electric Utilities",Total,21945525.0
1994.0,NE,"Electric Generators, Electric Utilities",Coal,14002015.0
1994.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1311883.0
1994.0,NE,"Electric Generators, Electric Utilities",Natural Gas,258764.0
1994.0,NE,"Electric Generators, Electric Utilities",Nuclear,6345330.0
1994.0,NE,"Electric Generators, Electric Utilities",Other Biomass,9332.0
1994.0,NE,"Electric Generators, Electric Utilities",Petroleum,18201.0
1994.0,NE,"Combined Heat and Power, Industrial Power",Total,37606.0
1994.0,NE,"Combined Heat and Power, Industrial Power",Coal,37452.0
1994.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,154.0
1995.0,NE,Total Electric Power Industry,Total,25304300.0
1995.0,NE,Total Electric Power Industry,Coal,16104419.0
1995.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1426058.0
1995.0,NE,Total Electric Power Industry,Natural Gas,245428.0
1995.0,NE,Total Electric Power Industry,Nuclear,7485448.0
1995.0,NE,Total Electric Power Industry,Other Biomass,16268.0
1995.0,NE,Total Electric Power Industry,Petroleum,26679.0
1995.0,NE,"Electric Generators, Electric Utilities",Total,25279277.0
1995.0,NE,"Electric Generators, Electric Utilities",Coal,16079519.0
1995.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1426058.0
1995.0,NE,"Electric Generators, Electric Utilities",Natural Gas,245305.0
1995.0,NE,"Electric Generators, Electric Utilities",Nuclear,7485448.0
1995.0,NE,"Electric Generators, Electric Utilities",Other Biomass,16268.0
1995.0,NE,"Electric Generators, Electric Utilities",Petroleum,26679.0
1995.0,NE,"Combined Heat and Power, Industrial Power",Total,25023.0
1995.0,NE,"Combined Heat and Power, Industrial Power",Coal,24900.0
1995.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,123.0
1996.0,NE,Total Electric Power Industry,Total,27351109.0
1996.0,NE,Total Electric Power Industry,Coal,16067002.0
1996.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1601919.0
1996.0,NE,Total Electric Power Industry,Natural Gas,193867.0
1996.0,NE,Total Electric Power Industry,Nuclear,9456814.0
1996.0,NE,Total Electric Power Industry,Other Biomass,11534.0
1996.0,NE,Total Electric Power Industry,Petroleum,19973.0
1996.0,NE,"Electric Generators, Electric Utilities",Total,27322697.0
1996.0,NE,"Electric Generators, Electric Utilities",Coal,16040775.0
1996.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1601919.0
1996.0,NE,"Electric Generators, Electric Utilities",Natural Gas,191682.0
1996.0,NE,"Electric Generators, Electric Utilities",Nuclear,9456814.0
1996.0,NE,"Electric Generators, Electric Utilities",Other Biomass,11534.0
1996.0,NE,"Electric Generators, Electric Utilities",Petroleum,19973.0
1996.0,NE,"Combined Heat and Power, Industrial Power",Total,28412.0
1996.0,NE,"Combined Heat and Power, Industrial Power",Coal,26227.0
1996.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,2185.0
1997.0,NE,Total Electric Power Industry,Total,28449267.0
1997.0,NE,Total Electric Power Industry,Coal,17248637.0
1997.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1672419.0
1997.0,NE,Total Electric Power Industry,Natural Gas,211301.0
1997.0,NE,Total Electric Power Industry,Nuclear,9268857.0
1997.0,NE,Total Electric Power Industry,Other Biomass,16994.0
1997.0,NE,Total Electric Power Industry,Petroleum,31059.0
1997.0,NE,"Electric Generators, Electric Utilities",Total,28388030.0
1997.0,NE,"Electric Generators, Electric Utilities",Coal,17209080.0
1997.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1672419.0
1997.0,NE,"Electric Generators, Electric Utilities",Natural Gas,205991.0
1997.0,NE,"Electric Generators, Electric Utilities",Nuclear,9268857.0
1997.0,NE,"Electric Generators, Electric Utilities",Other Biomass,624.0
1997.0,NE,"Electric Generators, Electric Utilities",Petroleum,31059.0
1997.0,NE,"Combined Heat and Power, Industrial Power",Total,42855.0
1997.0,NE,"Combined Heat and Power, Industrial Power",Coal,39557.0
1997.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,3298.0
1997.0,NE,"Combined Heat and Power, Electric Power",Total,8395.0
1997.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,1407.0
1997.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,6988.0
1997.0,NE,"Combined Heat and Power, Commercial Power",Total,9987.0
1997.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,605.0
1997.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,9382.0
1998.0,NE,Total Electric Power Industry,Total,28796791.0
1998.0,NE,Total Electric Power Industry,Coal,18380471.0
1998.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1682834.0
1998.0,NE,Total Electric Power Industry,Natural Gas,414483.0
1998.0,NE,Total Electric Power Industry,Nuclear,8258803.0
1998.0,NE,Total Electric Power Industry,Other Biomass,17593.0
1998.0,NE,Total Electric Power Industry,Petroleum,42607.0
1998.0,NE,Total Electric Power Industry,Wind,0.0
1998.0,NE,"Electric Generators, Electric Utilities",Total,28720209.0
1998.0,NE,"Electric Generators, Electric Utilities",Coal,18335965.0
1998.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1682834.0
1998.0,NE,"Electric Generators, Electric Utilities",Natural Gas,400008.0
1998.0,NE,"Electric Generators, Electric Utilities",Nuclear,8258803.0
1998.0,NE,"Electric Generators, Electric Utilities",Other Biomass,707.0
1998.0,NE,"Electric Generators, Electric Utilities",Petroleum,41892.0
1998.0,NE,"Electric Generators, Electric Utilities",Wind,0.0
1998.0,NE,"Combined Heat and Power, Industrial Power",Total,47610.0
1998.0,NE,"Combined Heat and Power, Industrial Power",Coal,44506.0
1998.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,3104.0
1998.0,NE,"Combined Heat and Power, Electric Power",Total,8400.0
1998.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,2392.0
1998.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,6008.0
1998.0,NE,"Combined Heat and Power, Commercial Power",Total,20572.0
1998.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,8979.0
1998.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,10878.0
1998.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,715.0
1999.0,NE,Total Electric Power Industry,Total,30055751.0
1999.0,NE,Total Electric Power Industry,Coal,17837176.0
1999.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1719030.0
1999.0,NE,Total Electric Power Industry,Natural Gas,362628.0
1999.0,NE,Total Electric Power Industry,Nuclear,10091092.0
1999.0,NE,Total Electric Power Industry,Other Biomass,16202.0
1999.0,NE,Total Electric Power Industry,Petroleum,29623.0
1999.0,NE,Total Electric Power Industry,Wind,0.0
1999.0,NE,"Electric Generators, Electric Utilities",Total,29980967.0
1999.0,NE,"Electric Generators, Electric Utilities",Coal,17794136.0
1999.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1719030.0
1999.0,NE,"Electric Generators, Electric Utilities",Natural Gas,347902.0
1999.0,NE,"Electric Generators, Electric Utilities",Nuclear,10091092.0
1999.0,NE,"Electric Generators, Electric Utilities",Other Biomass,0.0
1999.0,NE,"Electric Generators, Electric Utilities",Petroleum,28807.0
1999.0,NE,"Electric Generators, Electric Utilities",Wind,0.0
1999.0,NE,"Combined Heat and Power, Industrial Power",Total,47762.0
1999.0,NE,"Combined Heat and Power, Industrial Power",Coal,43040.0
1999.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,4722.0
1999.0,NE,"Combined Heat and Power, Electric Power",Total,8733.0
1999.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,1742.0
1999.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,6991.0
1999.0,NE,"Combined Heat and Power, Commercial Power",Total,18289.0
1999.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,8262.0
1999.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,9211.0
1999.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,816.0
2000.0,NE,Total Electric Power Industry,Total,29109863.0
2000.0,NE,Total Electric Power Industry,Coal,18457933.0
2000.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1500724.0
2000.0,NE,Total Electric Power Industry,Natural Gas,451354.0
2000.0,NE,Total Electric Power Industry,Nuclear,8628679.0
2000.0,NE,Total Electric Power Industry,Other Biomass,16514.0
2000.0,NE,Total Electric Power Industry,Petroleum,54659.0
2000.0,NE,Total Electric Power Industry,Wind,0.0
2000.0,NE,"Electric Generators, Electric Utilities",Total,29045739.0
2000.0,NE,"Electric Generators, Electric Utilities",Coal,18424799.0
2000.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1500724.0
2000.0,NE,"Electric Generators, Electric Utilities",Natural Gas,437822.0
2000.0,NE,"Electric Generators, Electric Utilities",Nuclear,8628679.0
2000.0,NE,"Electric Generators, Electric Utilities",Other Biomass,0.0
2000.0,NE,"Electric Generators, Electric Utilities",Petroleum,53715.0
2000.0,NE,"Electric Generators, Electric Utilities",Wind,0.0
2000.0,NE,"Combined Heat and Power, Industrial Power",Total,38006.0
2000.0,NE,"Combined Heat and Power, Industrial Power",Coal,33134.0
2000.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,4872.0
2000.0,NE,"Combined Heat and Power, Electric Power",Total,7469.0
2000.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,863.0
2000.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,6606.0
2000.0,NE,"Combined Heat and Power, Commercial Power",Total,18649.0
2000.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,7797.0
2000.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,9908.0
2000.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,944.0
2001.0,NE,Total Electric Power Industry,Total,30485212.0
2001.0,NE,Total Electric Power Industry,Coal,20238706.0
2001.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1124122.0
2001.0,NE,Total Electric Power Industry,Natural Gas,348731.0
2001.0,NE,Total Electric Power Industry,Nuclear,8726113.0
2001.0,NE,Total Electric Power Industry,Other,58.0
2001.0,NE,Total Electric Power Industry,Other Biomass,16663.0
2001.0,NE,Total Electric Power Industry,Petroleum,28189.0
2001.0,NE,Total Electric Power Industry,Wind,2630.0
2001.0,NE,"Electric Generators, Electric Utilities",Total,30411669.0
2001.0,NE,"Electric Generators, Electric Utilities",Coal,20193542.0
2001.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1124122.0
2001.0,NE,"Electric Generators, Electric Utilities",Natural Gas,340050.0
2001.0,NE,"Electric Generators, Electric Utilities",Nuclear,8726113.0
2001.0,NE,"Electric Generators, Electric Utilities",Other,58.0
2001.0,NE,"Electric Generators, Electric Utilities",Other Biomass,0.0
2001.0,NE,"Electric Generators, Electric Utilities",Petroleum,25154.0
2001.0,NE,"Electric Generators, Electric Utilities",Wind,2630.0
2001.0,NE,"Combined Heat and Power, Industrial Power",Total,48254.0
2001.0,NE,"Combined Heat and Power, Industrial Power",Coal,45164.0
2001.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,3090.0
2001.0,NE,"Combined Heat and Power, Electric Power",Total,8289.0
2001.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,8289.0
2001.0,NE,"Combined Heat and Power, Commercial Power",Total,17000.0
2001.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,5591.0
2001.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,8374.0
2001.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,3035.0
2002.0,NE,Total Electric Power Industry,Total,31618494.0
2002.0,NE,Total Electric Power Industry,Coal,19943907.0
2002.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1097486.0
2002.0,NE,Total Electric Power Industry,Natural Gas,413138.0
2002.0,NE,Total Electric Power Industry,Nuclear,10122242.0
2002.0,NE,Total Electric Power Industry,Other,0.0
2002.0,NE,Total Electric Power Industry,Other Biomass,12993.0
2002.0,NE,Total Electric Power Industry,Other Gases,101.0
2002.0,NE,Total Electric Power Industry,Petroleum,20549.0
2002.0,NE,Total Electric Power Industry,Wind,8078.0
2002.0,NE,"Electric Generators, Electric Utilities",Total,31550226.0
2002.0,NE,"Electric Generators, Electric Utilities",Coal,19899803.0
2002.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1097486.0
2002.0,NE,"Electric Generators, Electric Utilities",Natural Gas,404106.0
2002.0,NE,"Electric Generators, Electric Utilities",Nuclear,10122242.0
2002.0,NE,"Electric Generators, Electric Utilities",Other,0.0
2002.0,NE,"Electric Generators, Electric Utilities",Other Biomass,0.0
2002.0,NE,"Electric Generators, Electric Utilities",Other Gases,101.0
2002.0,NE,"Electric Generators, Electric Utilities",Petroleum,18410.0
2002.0,NE,"Electric Generators, Electric Utilities",Wind,8078.0
2002.0,NE,"Combined Heat and Power, Industrial Power",Total,44104.0
2002.0,NE,"Combined Heat and Power, Industrial Power",Coal,44104.0
2002.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,0.0
2002.0,NE,"Combined Heat and Power, Electric Power",Total,7500.0
2002.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,1045.0
2002.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,6455.0
2002.0,NE,"Combined Heat and Power, Commercial Power",Total,16664.0
2002.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,7987.0
2002.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,6538.0
2002.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,2139.0
2003.0,NE,Total Electric Power Industry,Total,30455984.0
2003.0,NE,Total Electric Power Industry,Coal,20954173.0
2003.0,NE,Total Electric Power Industry,Hydroelectric Conventional,980110.0
2003.0,NE,Total Electric Power Industry,Natural Gas,381078.0
2003.0,NE,Total Electric Power Industry,Nuclear,7996902.0
2003.0,NE,Total Electric Power Industry,Other,0.0
2003.0,NE,Total Electric Power Industry,Other Biomass,56442.0
2003.0,NE,Total Electric Power Industry,Other Gases,206.0
2003.0,NE,Total Electric Power Industry,Petroleum,48852.0
2003.0,NE,Total Electric Power Industry,Wind,38221.0
2003.0,NE,"Electric Generators, Electric Utilities",Total,30367879.0
2003.0,NE,"Electric Generators, Electric Utilities",Coal,20907970.0
2003.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,980110.0
2003.0,NE,"Electric Generators, Electric Utilities",Natural Gas,369409.0
2003.0,NE,"Electric Generators, Electric Utilities",Nuclear,7996902.0
2003.0,NE,"Electric Generators, Electric Utilities",Other,0.0
2003.0,NE,"Electric Generators, Electric Utilities",Other Biomass,27090.0
2003.0,NE,"Electric Generators, Electric Utilities",Other Gases,206.0
2003.0,NE,"Electric Generators, Electric Utilities",Petroleum,47971.0
2003.0,NE,"Electric Generators, Electric Utilities",Wind,38221.0
2003.0,NE,"Combined Heat and Power, Industrial Power",Total,46203.0
2003.0,NE,"Combined Heat and Power, Industrial Power",Coal,46203.0
2003.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,0.0
2003.0,NE,"Combined Heat and Power, Electric Power",Total,21444.0
2003.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,2538.0
2003.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,18906.0
2003.0,NE,"Combined Heat and Power, Commercial Power",Total,20458.0
2003.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,9131.0
2003.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,10446.0
2003.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,881.0
2004.0,NE,Total Electric Power Industry,Total,32008709.0
2004.0,NE,Total Electric Power Industry,Coal,20457085.0
2004.0,NE,Total Electric Power Industry,Hydroelectric Conventional,913021.0
2004.0,NE,Total Electric Power Industry,Natural Gas,297390.0
2004.0,NE,Total Electric Power Industry,Nuclear,10241254.0
2004.0,NE,Total Electric Power Industry,Other,0.0
2004.0,NE,Total Electric Power Industry,Other Biomass,39518.0
2004.0,NE,Total Electric Power Industry,Other Gases,142.0
2004.0,NE,Total Electric Power Industry,Petroleum,21868.0
2004.0,NE,Total Electric Power Industry,Wind,38431.0
