Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Energy Storage,Natural Gas LDC Name,Natural Gas Pipeline Name 1,Natural Gas Pipeline Name 2,Natural Gas Pipeline Name 3,Pipeline Notes,Natural Gas Storage,Liquefied Natural Gas Storage
40606,City of Grand Island - (NE),59,Platte,1035 W Wildwood Drive,Grand Island,NE,68801,Hall,40.854765,-98.348222,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Grand Island - (NE),40606,NE,115, , ,N,,,,,,N,X
8245,City of Hastings - (NE),60,Whelan Energy Center,4520 East South St.,Hastings,NE,68902,Adams,40.580872,-98.312437,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,Y,N,OP,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,X,X
3271,Central Nebraska Pub P&I Dist,785,Kingsley,199 Central District Drive,Ogallala,NE,69153,Keith,41.2114,-101.6681,MRO,SWPP,Southwest Power Pool,North Platte River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,X,X
695,City of Ansley - (NE),2214,Ansley,909 Division Street,Ansley,NE,68814,Custer,41.289185,-99.386336,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Custer Public Power District,4671,NE,2.4, , ,N,,BLACK HILLS ENERGY,,,,N,X
993,Auburn Board of Public Works,2215,Auburn,1517 16th Street,Auburn,NE,68305,Nemaha,40.3883,-95.8464,MRO,SWPP,Southwest Power Pool,Wells (Municipal Wells),22,RE,1,Electric Utility,N,,N,,N,,N,X,,Omaha Public Power District,14127,NE,69, , ,N,,BLACK HILLS ENERGY,,,,N,
871,Village of Arnold - (NE),2216,Arnold,209 West 1st.,Arnold,NE,69120,Custer,41.421928,-100.19561,MRO,SWPP,Southwest Power Pool,Municipality Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Custer Public Power District,4671,NE,216, , ,N,,,,,,N,X
1435,City of Beaver City - (NE),2217,Beaver City,PO Box 185,Beaver City,NE,68926,Furnas,40.130304,-99.827772,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Beaver City - (NE),1435,NE,4.1, , ,N,,SOURCE GAS DISTRIBUTION LLC,,,,N,N
2277,City of Broken Bow - (NE),2221,Broken Bow,145 South 8th Ave,Broken Bow,NE,68822,Custer,41.4031,-99.6392,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,69, , ,N,BLACK HILLS ENERGY,,,,,N,X
2609,City of Burwell - (NE),2222,Burwell,834 H St,Burwell,NE,68823,Garfield,41.780313,-99.136071,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,34.5, , ,N,,,,,,N,N
2888,City of Cambridge - (NE),2223,Cambridge,421 Nasby Street,Cambridge,NE,69022,Furnas,40.286178,-100.176836,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Twin Valleys Public Power Dist,20456,NE,69, , ,N,,,,,,N,X
2931,Village of Campbell - (NE),2225,Campbell Village,South Railway Street,Campbell,NE,68932,Franklin,40.2992,-98.7331,MRO,SWPP,Southwest Power Pool,Groundwater,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Village of Campbell - (NE),2931,NE,2.4, , ,N,,,,,,,
13337,Nebraska Public Power District,2226,Canaday,74965 Rd 435,Lexington,NE,68850,Gosper,40.6942,-99.7011,MRO,SWPP,Southwest Power Pool,Tri-County Supply Canal,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,,Tallgrass Interstate Gas Transmission,,,,X,X
3271,Central Nebraska Pub P&I Dist,2227,Jeffrey,19420 S. Brady-Moorefield Road,Brady,NE,69123,Lincoln,40.959405,-100.397905,MRO,SWPP,Southwest Power Pool,Platte River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115,34.5, ,N,,,,,,X,X
3271,Central Nebraska Pub P&I Dist,2228,Johnson 1,42874 Johnson Lake Drive 29,Elwood,NE,68937,Gosper,40.6936,-99.8178,MRO,SWPP,Southwest Power Pool,Platte River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,X,X
3271,Central Nebraska Pub P&I Dist,2229,Johnson 2,43282 Road 749,Lexington,NE,68850,Gosper,40.6839,-99.7447,MRO,SWPP,Southwest Power Pool,Platte River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,X,X
3373,City of Chappell - (NE),2230,Chappell,757 Second St,Chappell,NE,69129,Deuel,41.092589,-102.471547,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Chappell - (NE),3373,NE,2.4, , ,N,,,,,,X,X
4527,City of Crete,2231,Crete,243 East 13th Street,Crete,NE,68333,Saline,40.6253,-96.9601,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,,X,,City of Crete,4527,NE,14, , ,N,,BLACK HILLS ENERGY,,,,N,
4661,City of Curtis - (NE),2232,Curtis,310 Center Avenue,Curtis,NE,69025,Frontier,40.631453,-100.515161,MRO,SWPP,Southwest Power Pool,Municipality/ Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Curtis - (NE),4661,NE,12.5, , ,N,,SOURCE GAS DISTRIBUTION LLC,,,,N,N
4836,City of David City,2233,David City,402 5th St,David City,NE,68632,Butler,41.254652,-97.119202,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Butler Public Power District - (NE),2643,NE,34.5, , ,N,BLACK HILLS ENERGY,,,,,X,X
5097,City of Deshler - (NE),2234,Deshler,305 E Bryson,Deshler,NE,68340,Thayer,40.1408,-97.7239,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Norris Public Power District,13664,NE,34.5, , ,N,,,,,,X,X
5850,City of Emerson - (NE),2235,Emerson,300 West Front Street,Emerson,NE,68733,Dixon,42.276,-96.7292,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Emerson - (NE),5850,NE,24, , ,N,,BLACK HILLS ENERGY,,,,N,
6175,City of Falls City - (NE),2237,Falls City,South Crook Street,Falls City,NE,68355,Richardson,40.055,-95.6083,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Falls City - (NE),6175,NE,69, , ,N,FALLS CITY CITY OF,SOUTHERN STAR CENTRAL GAS PIPELINE,,,,N,X
6723,City of Franklin - (NE),2238,Franklin (NE),619 15th Ave,Franklin,NE,68939,Franklin,40.0892,-98.9508,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Franklin - (NE),6723,NE,2.4, , ,N,BLACK HILLS ENERGY,,,,,N,X
6779,City of Fremont - (NE),2240,Lon Wright,2701 East 1st Street,Fremont,NE,68025,Dodge,41.4281,-96.4623,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,Y,Y,OP,City of Fremont - (NE),6779,NE,69, , ,N,,NORTHERN NATURAL GAS,,,,N,X
40606,City of Grand Island - (NE),2241,C W Burdick,805 E Bischeld,Grand Island,NE,68801,Hall,40.9228,-98.3269,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Grand Island - (NE),40606,NE,115, , ,N,,Tallgrass Interstate Gas Transmission,,,,N,X
8245,City of Hastings - (NE),2243,Don Henry,100 N. Marian Rd.,Hastings,NE,68902,Adams,40.583155,-98.420055,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Hastings - (NE),8245,NE,115,34.5, ,N,,Tallgrass Interstate Gas Transmission,,,,N,X
8245,City of Hastings - (NE),2244,North Denver,1228 N. Denver,Hastings,NE,68902,Adams,40.598839,-98.38863,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Hastings - (NE),8245,NE,115,34.5, ,N,,Tallgrass Interstate Gas Transmission,,,,N,X
10260,City of Kimball - (NE),2248,Kimball,223 South Chestnut Street,Kimball,NE,69145,Kimball,41.2382,-103.6667,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,WAPA-- Western Area Power Administration,27000,NE,115, , ,N,,,,,,N,N
10760,City of Laurel - (NE),2249,Laurel,101 W. 2nd St.,Laurel,NE,68745,Cedar,42.430539,-97.090814,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Cedar-Knox Public Power Dist,3205,NE,2.4, , ,N,BLACK HILLS ENERGY,NORTHERN NATURAL GAS,,,,N,N
11018,Lincoln Electric System,2250,J Street,725 J Street,Lincoln,NE,68508,Lancaster,40.80788,-96.710667,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Lincoln Electric System,11018,NE,34.5, , ,N,BLACK HILLS ENERGY,,,,,N,X
11372,City of Lyons - (NE),2253,Lyons,355 Main St,Lyons,NE,68038,Burt,41.9374,-96.4668,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Burt County Public Power Dist,2599,NE,34.5, , ,N,LYONS CITY OF,,,,,N,X
13334,City of Nebraska City,2255,Nebraska City # 1,404 N 1st St,Nebraska,NE,68410,Otoe,40.6806,-95.8475,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Omaha Public Power District,14127,NE,69, , ,N,,NATURAL GAS PL CO OF AMERICA,,,,N,
13334,City of Nebraska City,2256,Syracuse # 2,Hwy 2 & Hwy 50,Syracuse,NE,68446,Otoe,40.6756,-96.177778,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Omaha Public Power District,14127,NE,69, , ,N,,NATURAL GAS PL CO OF AMERICA,,,,N,
11251,Loup River Public Power Dist,2260,Columbus,4757 3rd Ave,Columbus,NE,68601,Platte,41.4639,-97.3283,MRO,SWPP,Southwest Power Pool,Loup River Canal,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,X,X
13337,Nebraska Public Power District,2265,Hallam,4500 West Pella Rd,Hallam,NE,68368,Lancaster,40.558652,-96.786177,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,BLACK HILLS ENERGY,,,,,X,X
13337,Nebraska Public Power District,2266,Hebron,Highway 81,Hebron,NE,68370,Thayer,40.187928,-97.577857,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,,X,,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,X,X
13337,Nebraska Public Power District,2268,Kearney,1502 E 27th St,Kearney,NE,68847,Buffalo,40.703511,-99.100753,MRO,SWPP,Southwest Power Pool,Platte River,22,RE,1,Electric Utility,N,,N,,N,,,X,,Nebraska Public Power District,13337,NE,12.5, , ,N,,,,,,X,X
13337,Nebraska Public Power District,2271,McCook,1901 North Hwy 83,McCook,NE,69001,Red Willow,40.2214,-100.6508,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,,X,,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,X,X
11251,Loup River Public Power Dist,2273,Monroe (NE),37718 253rd St,Monroe,NE,68647,Platte,41.4872,-97.6078,MRO,SWPP,Southwest Power Pool,Loup River Canal,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Loup River Public Power Dist,11251,NE,34.5, , ,N,,,,,,X,X
13337,Nebraska Public Power District,2274,North Platte,402 E State Farm Rd,North Platte,NE,69101,Lincoln,41.0864,-100.7594,MRO,SWPP,Southwest Power Pool,Platte River,22,RE,1,Electric Utility,N,,N,,N,,,X,,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,X,X
13337,Nebraska Public Power District,2277,Sheldon,4500 West Pella Rd,Hallam,NE,68368,Lancaster,40.5589,-96.7847,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,Y,Y,OP,Nebraska Public Power District,13337,NE,115, , ,N,BLACK HILLS ENERGY,,,,,X,X
13337,Nebraska Public Power District,2278,Spencer Hydro,89566 492nd Ave,Spencer,NE,68777,Boyd,42.809337,-98.656283,MRO,SWPP,Southwest Power Pool,Niobrara River,22,RE,1,Electric Utility,N,,N,,N,,,X,,Nebraska Public Power District,13337,NE,34.5, , ,N,,,,,,X,X
14127,Omaha Public Power District,2289,Fort Calhoun,9750 Power Lane,Blair,NE,68008,Washington,41.520522,-96.077511,MRO,SWPP,Southwest Power Pool,Missouri River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Omaha Public Power District,14127,NE,345, , ,,,,,,,,
14127,Omaha Public Power District,2290,Jones Street,505 Marcy Street,Omaha,NE,68108,Douglas,41.251488,-95.922682,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Omaha Public Power District,14127,NE,69, , ,N,,,,,,N,
14127,Omaha Public Power District,2291,North Omaha,7475 Pershing Drive,Omaha,NE,68112,Douglas,41.32909,-95.94466,MRO,SWPP,Southwest Power Pool,Missouri River,22,RE,1,Electric Utility,N,,N,,N,,Y,Y,OP,Omaha Public Power District,14127,NE,161, , ,N,METROPOLITAN UTILITIES DIST OF OMAHA,,,,,N,
14127,Omaha Public Power District,2292,Sarpy County,8906 S. 35th Street,Bellevue,NE,68147,Sarpy,41.170594,-95.970603,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,,X,,Omaha Public Power District,14127,NE,161, , ,N,METROPOLITAN UTILITIES DIST OF OMAHA,,,,,N,
14172,City of Ord - (NE),2294,Ord,201 S. 17th St,Ord,NE,68862,Valley,41.604164,-98.926144,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,,X,,City of Ord - (NE),14172,NE,34.5, , ,N,BLACK HILLS ENERGY,,,,,X,X
14277,Village of Oxford - (NE),2295,Oxford (NE),315 Odell,Oxford,NE,68967,Furnas,40.2581,-99.6108,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,,X,,Twin Valleys Public Power Dist,20456,NE,69, , ,N,BLACK HILLS ENERGY,BLACK HILLS ENERGY,,,,N,X
14656,City of Pender - (NE),2296,Pender,416 Main Street,Pender,NE,68047,Thurston,42.114742,-96.705431,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Pender - (NE),14656,NE,12.47,34.5, ,N,,NORTHERN NATURAL GAS,,,,N,N
13698,North Central Public Pwr Dist,2297,Plainview Muncipal Power,209 West Locust,Plainview,NE,68769,Pierce,42.35,-97.790556,MRO,SWPP,Southwest Power Pool,City Well,22,RE,1,Electric Utility,N,,N,,N,,N,X,,North Central Public Pwr Dist,13698,NE,69, , ,N,,,,,,X,X
15773,City of Red Cloud - (NE),2299,Red Cloud,540 N Webster,Red Cloud,NE,68970,Webster,40.097954,-98.519032,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Red Cloud - (NE),15773,NE,13.8, , ,N,,,,,,N,N
16667,City of Sargent - (NE),2300,Sargent,107 N 2nd St,Sargent,NE,68874,Custer,41.641588,-99.3698,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Sargent - (NE),16667,NE,115, , ,N,BLACK HILLS ENERGY,None,,,,N,N
17149,City of Sidney - (NE),2302,Sidney (NE),801 11th Avenue,Sidney,NE,69162,Cheyenne,41.145634,-102.977836,MRO,SWPP,Southwest Power Pool,Municipality Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,BLACK HILLS ENERGY,None,,,,N,N
17727,Village of Spalding - (NE),2303,Spalding,3/4m. s. of Village of Spaldin,Spalding,NE,68665,Greeley,41.68138,-98.36756,MRO,SWPP,Southwest Power Pool,Cedar River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Village of Spalding - (NE),17727,NE,4.2, , ,N,,,,,,X,X
18230,City of Stuart - (NE),2305,Stuart (NE),111 W 2nd Street,Stuart,NE,68780,Holt,42.599377,-99.143707,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Stuart - (NE),18230,NE,2.4, , ,N,STUART GAS CO,Tallgrass Interstate Gas Transmission,,,,N,N
18525,City of Tecumseh,2308,Tecumseh,609 Clay Street,Tecumseh,NE,68450,Johnson,40.3664,-96.19,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Tecumseh,18525,NE,69, , ,N,,BLACK HILLS ENERGY,,,,N,N
19968,City of Wahoo - (NE),2310,Wahoo,700 East 7th St.,Wahoo,NE,68066,Saunders,41.211798,-96.61155,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,34.5, , ,N,WAHOO CITY OF,NORTHERN NATURAL GAS,,,,N,N
19980,City of Wakefield - (NE),2311,Wakefield,303 Oak Street,Wakefield,NE,68784,Dixon,42.2691,-96.8621,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,69, , ,N,,BLACK HILLS ENERGY,,,,N,X
20219,City of Wayne,2312,Wayne IC,306 Pearl St.,Wayne,NE,68787,Wayne,42.2278,-97.0183,MRO,SWPP,Southwest Power Pool,Municipal Water,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Wayne,20219,NE,69, , ,N,,,,,,X,X
20397,City of West Point - (NE),2313,West Point Municipal,605N Mill Street,West Point,NE,68788,Cuming,41.844936,-96.71345,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of West Point - (NE),20397,NE,4.16, , ,N,,BLACK HILLS ENERGY,,,,N,
20632,City of Wilber,2315,Wilber,412 S. Main,Wilber,NE,68465,Saline,40.4797,-96.9604,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Norris Public Power District,13664,NE,34.5, , ,N,,,,,,N,N
20880,City of Wisner,2316,Wisner,1115 Ave. E.,Wisner,NE,68791,Cuming,41.988069,-96.915994,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,,X,,City of Wisner,20880,NE,4.16, , ,N,,,,,,N,N
13337,Nebraska Public Power District,6077,Gerald Gentleman,6089 South Hwy 25,Sutherland,NE,69165,Lincoln,41.0808,-101.1408,MRO,SWPP,Southwest Power Pool,Sutherland Supply Canal,22,RE,1,Electric Utility,N,,N,,N,,Y,Y,OP,Nebraska Public Power District,13337,NE,345, , ,N,BLACK HILLS ENERGY,,,,,X,X
14127,Omaha Public Power District,6096,Nebraska City,7264 L Road,Nebraska City,NE,68410,Otoe,40.6214,-95.7764,MRO,SWPP,Southwest Power Pool,Missouri River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Omaha Public Power District,14127,NE,345, , ,N,NEBRASKA CITY UTILITIES,,,,,N,
13337,Nebraska Public Power District,6229,Mobile,1215 West Hwy 34,York,NE,68467,York,40.883013,-97.601363,MRO,SWPP,Southwest Power Pool,Mounted Reservoir,22,RE,1,Electric Utility,N,,N,,N,,,X,,Nebraska Public Power District,13337,NE,2.4, , ,N,,,,,,X,X
11018,Lincoln Electric System,6373,Rokeby,8000 SW 12 Street,Lincoln,NE,68523,Lancaster,40.7316,-96.7364,MRO,SWPP,Southwest Power Pool,Well,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Lincoln Electric System,11018,NE,115, , ,N,BLACK HILLS ENERGY,,,,,N,X
