Year,State Code,Producer Type,Fuel Source,Generators,Facilities,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
1990,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,8.9,8.3
1990,NE,"Combined Heat and Power, Industrial Power",Coal,,2,8.9,8.3
1990,NE,"Electric Generators, Electric Utilities",All Sources,,98,5879.14,5451.74
1990,NE,"Electric Generators, Electric Utilities",Coal,,8,3304.42,3094.1
1990,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,167.88
1990,NE,"Electric Generators, Electric Utilities",Natural Gas,,40,606.74,565.44
1990,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1254
1990,NE,"Electric Generators, Electric Utilities",Petroleum,,37,447.35,370.32
1990,NE,Total Electric Power Industry,All Sources,,100,5888.04,5460.04
1990,NE,Total Electric Power Industry,Coal,,,3313.32,3102.4
1990,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,167.88
1990,NE,Total Electric Power Industry,Natural Gas,,40,606.74,565.44
1990,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1254
1990,NE,Total Electric Power Industry,Petroleum,,,447.35,370.32
1991,NE,"Combined Heat and Power, Industrial Power",All Sources,,1,7.9,7.4
1991,NE,"Combined Heat and Power, Industrial Power",Coal,,1,7.9,7.4
1991,NE,"Electric Generators, Electric Utilities",All Sources,,95,5740.49,5450.05
1991,NE,"Electric Generators, Electric Utilities",Coal,,7,3168.07,3087.1
1991,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,167.78
1991,NE,"Electric Generators, Electric Utilities",Natural Gas,,39,676.84,630.36
1991,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1254
1991,NE,"Electric Generators, Electric Utilities",Petroleum,,36,374.95,310.82
1991,NE,Total Electric Power Industry,All Sources,,96,5748.39,5457.45
1991,NE,Total Electric Power Industry,Coal,,,3175.97,3094.5
1991,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,167.78
1991,NE,Total Electric Power Industry,Natural Gas,,39,676.84,630.36
1991,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1254
1991,NE,Total Electric Power Industry,Petroleum,,,374.95,310.82
1992,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,8.9,8.3
1992,NE,"Combined Heat and Power, Industrial Power",Coal,,2,8.9,8.3
1992,NE,"Electric Generators, Electric Utilities",All Sources,,93,5762.63,5452.56
1992,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3065.6
1992,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,167.78
1992,NE,"Electric Generators, Electric Utilities",Natural Gas,,39,677.24,630.89
1992,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1254
1992,NE,"Electric Generators, Electric Utilities",Petroleum,,34,396.84,334.29
1992,NE,Total Electric Power Industry,All Sources,,95,5771.53,5460.86
1992,NE,Total Electric Power Industry,Coal,,,3176.82,3073.9
1992,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,167.78
1992,NE,Total Electric Power Industry,Natural Gas,,39,677.24,630.89
1992,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1254
1992,NE,Total Electric Power Industry,Petroleum,,,396.84,334.29
1993,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,8.9,8.3
1993,NE,"Combined Heat and Power, Industrial Power",Coal,,2,8.9,8.3
1993,NE,"Electric Generators, Electric Utilities",All Sources,,95,5777.7,5511.61
1993,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3102.8
1993,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,167.69
1993,NE,"Electric Generators, Electric Utilities",Natural Gas,,41,684.74,644.94
1993,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1254
1993,NE,"Electric Generators, Electric Utilities",Petroleum,,34,404.41,342.18
1993,NE,Total Electric Power Industry,All Sources,,97,5786.6,5519.91
1993,NE,Total Electric Power Industry,Coal,,,3176.82,3111.1
1993,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,167.69
1993,NE,Total Electric Power Industry,Natural Gas,,41,684.74,644.94
1993,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1254
1993,NE,Total Electric Power Industry,Petroleum,,,404.41,342.18
1994,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,8.9,8.3
1994,NE,"Combined Heat and Power, Industrial Power",Coal,,2,8.9,8.3
1994,NE,"Electric Generators, Electric Utilities",All Sources,,95,5777.88,5517.51
1994,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3111.9
1994,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,166.69
1994,NE,"Electric Generators, Electric Utilities",Natural Gas,,41,684.97,642.54
1994,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1254
1994,NE,"Electric Generators, Electric Utilities",Petroleum,,34,404.35,342.38
1994,NE,Total Electric Power Industry,All Sources,,97,5786.78,5525.81
1994,NE,Total Electric Power Industry,Coal,,,3176.82,3120.2
1994,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,166.69
1994,NE,Total Electric Power Industry,Natural Gas,,41,684.97,642.54
1994,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1254
1994,NE,Total Electric Power Industry,Petroleum,,,404.35,342.38
1995,NE,"Combined Heat and Power, Industrial Power",All Sources,,3,10.4,9.71
1995,NE,"Combined Heat and Power, Industrial Power",Coal,,3,10.4,9.71
1995,NE,"Electric Generators, Electric Utilities",All Sources,,94,5777.47,5528.97
1995,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3111.9
1995,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,166.69
1995,NE,"Electric Generators, Electric Utilities",Natural Gas,,41,706.97,665.74
1995,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1254
1995,NE,"Electric Generators, Electric Utilities",Petroleum,,33,381.95,330.64
1995,NE,Total Electric Power Industry,All Sources,,97,5787.87,5538.68
1995,NE,Total Electric Power Industry,Coal,,,3178.32,3121.61
1995,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,166.69
1995,NE,Total Electric Power Industry,Natural Gas,,41,706.97,665.74
1995,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1254
1995,NE,Total Electric Power Industry,Petroleum,,,381.95,330.64
1996,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,9.4,8.8
1996,NE,"Combined Heat and Power, Industrial Power",Coal,,1,7.9,7.4
1996,NE,"Combined Heat and Power, Industrial Power",Natural Gas,,2,1.5,1.4
1996,NE,"Electric Generators, Electric Utilities",All Sources,,93,5881.33,5631.72
1996,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3111.4
1996,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,166.69
1996,NE,"Electric Generators, Electric Utilities",Natural Gas,,40,588.67,559.17
1996,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1250
1996,NE,"Electric Generators, Electric Utilities",Petroleum,,33,604.11,544.46
1996,NE,Total Electric Power Industry,All Sources,,95,5890.73,5640.52
1996,NE,Total Electric Power Industry,Coal,,,3175.82,3118.8
1996,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,166.69
1996,NE,Total Electric Power Industry,Natural Gas,,41,590.17,560.57
1996,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1250
1996,NE,Total Electric Power Industry,Petroleum,,,604.11,544.46
1997,NE,"Combined Heat and Power, Commercial Power",All Sources,,1,2.1,2.05
1997,NE,"Combined Heat and Power, Commercial Power",Other Biomass,,,2.1,2.05
1997,NE,"Combined Heat and Power, Electric Power",All Sources,,1,1.5,1.46
1997,NE,"Combined Heat and Power, Electric Power",Other Biomass,,,1.5,1.46
1997,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,9.4,8.8
1997,NE,"Combined Heat and Power, Industrial Power",Coal,,1,7.9,7.4
1997,NE,"Combined Heat and Power, Industrial Power",Natural Gas,,2,1.5,1.4
1997,NE,"Electric Generators, Electric Utilities",All Sources,,96,5980.02,5760.17
1997,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3151.8
1997,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,166.69
1997,NE,"Electric Generators, Electric Utilities",Natural Gas,,40,684.47,644.22
1997,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1250
1997,NE,"Electric Generators, Electric Utilities",Petroleum,,36,607,547.46
1997,NE,Total Electric Power Industry,All Sources,,100,5993.02,5772.48
1997,NE,Total Electric Power Industry,Coal,,,3175.82,3159.2
1997,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,166.69
1997,NE,Total Electric Power Industry,Natural Gas,,41,685.97,645.62
1997,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1250
1997,NE,Total Electric Power Industry,Other Biomass,,,3.6,3.51
1997,NE,Total Electric Power Industry,Petroleum,,,607,547.46
1998,NE,"Combined Heat and Power, Commercial Power",All Sources,,3,6.85,6.64
1998,NE,"Combined Heat and Power, Commercial Power",Natural Gas,,2,3.75,3.66
1998,NE,"Combined Heat and Power, Commercial Power",Other Biomass,,,2.1,2.05
1998,NE,"Combined Heat and Power, Commercial Power",Petroleum,,1,1,0.93
1998,NE,"Combined Heat and Power, Electric Power",All Sources,,1,1.5,1.46
1998,NE,"Combined Heat and Power, Electric Power",Other Biomass,,,1.5,1.46
1998,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,9.4,8.8
1998,NE,"Combined Heat and Power, Industrial Power",Coal,,1,7.9,7.4
1998,NE,"Combined Heat and Power, Industrial Power",Natural Gas,,2,1.5,1.4
1998,NE,"Electric Generators, Electric Utilities",All Sources,,99,6003.39,5810.52
1998,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3168.6
1998,NE,"Electric Generators, Electric Utilities",Hydroelectric,,10,182.88,166.57
1998,NE,"Electric Generators, Electric Utilities",Natural Gas,,40,744.24,712.32
1998,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1245
1998,NE,"Electric Generators, Electric Utilities",Petroleum,,39,569.31,518.03
1998,NE,"Electric Generators, Electric Utilities",Wind,,1,1.5,0
1998,NE,Total Electric Power Industry,All Sources,,105,6021.14,5827.42
1998,NE,Total Electric Power Industry,Coal,,,3175.82,3176
1998,NE,Total Electric Power Industry,Hydroelectric,,10,182.88,166.57
1998,NE,Total Electric Power Industry,Natural Gas,,42,749.49,717.37
1998,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1245
1998,NE,Total Electric Power Industry,Other Biomass,,,3.6,3.51
1998,NE,Total Electric Power Industry,Petroleum,,,570.31,518.96
1998,NE,Total Electric Power Industry,Wind,,1,1.5,0
1999,NE,"Combined Heat and Power, Commercial Power",All Sources,,3,6.85,6.64
1999,NE,"Combined Heat and Power, Commercial Power",Other Biomass,,,2.1,2.05
1999,NE,"Combined Heat and Power, Commercial Power",Petroleum,,1,4.75,4.59
1999,NE,"Combined Heat and Power, Electric Power",All Sources,,1,1.5,1.46
1999,NE,"Combined Heat and Power, Electric Power",Other Biomass,,,1.5,1.46
1999,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,9.4,8.8
1999,NE,"Combined Heat and Power, Industrial Power",Coal,,1,7.9,7.4
1999,NE,"Combined Heat and Power, Industrial Power",Natural Gas,,2,1.5,1.4
1999,NE,"Electric Generators, Electric Utilities",All Sources,,100,6009.45,5829.49
1999,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3181.3
1999,NE,"Electric Generators, Electric Utilities",Hydroelectric,,10,182.88,162.08
1999,NE,"Electric Generators, Electric Utilities",Natural Gas,,40,744.24,722.62
1999,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1234
1999,NE,"Electric Generators, Electric Utilities",Petroleum,,40,575.37,527.99
1999,NE,"Electric Generators, Electric Utilities",Wind,,1,1.5,1.5
1999,NE,Total Electric Power Industry,All Sources,,106,6027.2,5846.39
1999,NE,Total Electric Power Industry,Coal,,,3175.82,3188.7
1999,NE,Total Electric Power Industry,Hydroelectric,,10,182.88,162.08
1999,NE,Total Electric Power Industry,Natural Gas,,42,745.74,724.01
1999,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1234
1999,NE,Total Electric Power Industry,Other Biomass,,,3.6,3.51
1999,NE,Total Electric Power Industry,Petroleum,,,580.12,532.58
1999,NE,Total Electric Power Industry,Wind,,1,1.5,1.5
2000,NE,"Combined Heat and Power, Commercial Power",All Sources,,3,7,7
2000,NE,"Combined Heat and Power, Commercial Power",Natural Gas,,2,4,4
2000,NE,"Combined Heat and Power, Commercial Power",Other Biomass,,,2,2
2000,NE,"Combined Heat and Power, Commercial Power",Petroleum,,1,1,1
2000,NE,"Combined Heat and Power, Electric Power",All Sources,,1,2,1
2000,NE,"Combined Heat and Power, Electric Power",Other Biomass,,,2,1
2000,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,9,9
2000,NE,"Combined Heat and Power, Industrial Power",Coal,,1,8,7
2000,NE,"Combined Heat and Power, Industrial Power",Natural Gas,,2,2,1
2000,NE,"Electric Generators, Electric Utilities",All Sources,,101,6128,5939
2000,NE,"Electric Generators, Electric Utilities",Coal,,7,3168,3181
2000,NE,"Electric Generators, Electric Utilities",Hydroelectric,,10,183,162
2000,NE,"Electric Generators, Electric Utilities",Natural Gas,,40,744,723
2000,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1338,1234
2000,NE,"Electric Generators, Electric Utilities",Petroleum,,40,693,636
2000,NE,"Electric Generators, Electric Utilities",Wind,,2,3,3
2000,NE,Total Electric Power Industry,All Sources,,107,6146,5956
2000,NE,Total Electric Power Industry,Coal,,,3176,3189
2000,NE,Total Electric Power Industry,Hydroelectric,,10,183,162
2000,NE,Total Electric Power Industry,Natural Gas,,42,749,728
2000,NE,Total Electric Power Industry,Nuclear,,2,1338,1234
2000,NE,Total Electric Power Industry,Other Biomass,,,4,4
2000,NE,Total Electric Power Industry,Petroleum,,,694,637
2000,NE,Total Electric Power Industry,Wind,,2,3,3
2001,NE,"Combined Heat and Power, Commercial Power",All Sources,,3,8,7
2001,NE,"Combined Heat and Power, Commercial Power",Natural Gas,,2,4,4
2001,NE,"Combined Heat and Power, Commercial Power",Other Biomass,,,3,3
2001,NE,"Combined Heat and Power, Commercial Power",Petroleum,,1,1,1
2001,NE,"Combined Heat and Power, Electric Power",All Sources,,1,2,2
2001,NE,"Combined Heat and Power, Electric Power",Other Biomass,,,2,2
2001,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,9,9
2001,NE,"Combined Heat and Power, Industrial Power",Coal,,1,8,8
2001,NE,"Combined Heat and Power, Industrial Power",Natural Gas,,2,2,1
2001,NE,"Electric Generators, Electric Utilities",All Sources,,90,6247,6010
2001,NE,"Electric Generators, Electric Utilities",Coal,,7,3204,3181
2001,NE,"Electric Generators, Electric Utilities",Hydroelectric,,9,183,162
2001,NE,"Electric Generators, Electric Utilities",Natural Gas,,31,742,721
2001,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1338,1234
2001,NE,"Electric Generators, Electric Utilities",Petroleum,,38,778,708
2001,NE,"Electric Generators, Electric Utilities",Wind,,3,4,4
2001,NE,Total Electric Power Industry,All Sources,,96,6266,6028
2001,NE,Total Electric Power Industry,Coal,,,3212,3189
2001,NE,Total Electric Power Industry,Hydroelectric,,9,183,162
2001,NE,Total Electric Power Industry,Natural Gas,,33,747,726
2001,NE,Total Electric Power Industry,Nuclear,,2,1338,1234
2001,NE,Total Electric Power Industry,Other Biomass,,,5,5
2001,NE,Total Electric Power Industry,Petroleum,,,779,709
2001,NE,Total Electric Power Industry,Wind,,3,4,4
2002,NE,"Combined Heat and Power, Commercial Power",All Sources,,3,8,6
2002,NE,"Combined Heat and Power, Commercial Power",Natural Gas,,2,4,2
2002,NE,"Combined Heat and Power, Commercial Power",Other Biomass,,,3,3
2002,NE,"Combined Heat and Power, Commercial Power",Petroleum,,1,1,1
2002,NE,"Combined Heat and Power, Electric Power",All Sources,,1,2,2
2002,NE,"Combined Heat and Power, Electric Power",Other Biomass,,,2,2
2002,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,9,9
2002,NE,"Combined Heat and Power, Industrial Power",Coal,,1,8,8
2002,NE,"Combined Heat and Power, Industrial Power",Natural Gas,,2,2,1
2002,NE,"Electric Generators, Electric Utilities",All Sources,,91,6261,6052
2002,NE,"Electric Generators, Electric Utilities",Coal,,7,3204,3196
2002,NE,"Electric Generators, Electric Utilities",Hydroelectric,,10,191,167
2002,NE,"Electric Generators, Electric Utilities",Natural Gas,,30,829,811
2002,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1338,1234
2002,NE,"Electric Generators, Electric Utilities",Other Biomass,,,3,3
2002,NE,"Electric Generators, Electric Utilities",Petroleum,,39,694,638
2002,NE,"Electric Generators, Electric Utilities",Wind,,2,3,3
2002,NE,Total Electric Power Industry,All Sources,,97,6279,6069
2002,NE,Total Electric Power Industry,Coal,,,3212,3204
2002,NE,Total Electric Power Industry,Hydroelectric,,10,191,167
2002,NE,Total Electric Power Industry,Natural Gas,,32,834,815
2002,NE,Total Electric Power Industry,Nuclear,,2,1338,1234
2002,NE,Total Electric Power Industry,Other Biomass,,,8,8
2002,NE,Total Electric Power Industry,Petroleum,,,695,639
2002,NE,Total Electric Power Industry,Wind,,2,3,3
2003,NE,"Combined Heat and Power, Commercial Power",All Sources,,3,8,6
2003,NE,"Combined Heat and Power, Commercial Power",Natural Gas,,2,4,2
2003,NE,"Combined Heat and Power, Commercial Power",Other Biomass,,,3,3
2003,NE,"Combined Heat and Power, Commercial Power",Petroleum,,1,1,1
2003,NE,"Combined Heat and Power, Electric Power",All Sources,,1,2,2
2003,NE,"Combined Heat and Power, Electric Power",Other Biomass,,,2,2
2003,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,9,9
2003,NE,"Combined Heat and Power, Industrial Power",Coal,,1,8,8
2003,NE,"Combined Heat and Power, Industrial Power",Natural Gas,,2,2,1
2003,NE,"Electric Generators, Electric Utilities",All Sources,,96,6994,6667
2003,NE,"Electric Generators, Electric Utilities",Coal,,7,3204,3196
2003,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,325,268
2003,NE,"Electric Generators, Electric Utilities",Natural Gas,,33,1453,1317
2003,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1303,1233
2003,NE,"Electric Generators, Electric Utilities",Other Biomass,,,3,3
2003,NE,"Electric Generators, Electric Utilities",Petroleum,,39,693,637
